y,dat1,dat2,dat3,dat4,dat5,dat6,dat7,dat8,dat9,dat10,dat11,dat12
3.11,1.0,3.0,2.0,1.0,2.0,2.0,-0.316,4.0,2.0,1.0,1.0,1.0
2.8226,1.0,1.0,1.0,3.0,1.0,2.0,-1.3377,1.0,4.0,1.0,1.0,1.0
7.4543,1.0,3.0,1.0,3.0,1.0,3.0,-0.761,4.0,2.0,1.0,1.0,1.0
4.4313,2.0,3.0,2.0,1.0,1.0,3.0,-2.2976,4.0,2.0,1.0,1.0,1.0
6.1543,2.0,2.0,1.0,3.0,2.0,3.0,-0.4263,2.0,1.0,1.0,1.0,1.0
-0.1783,2.0,1.0,2.0,3.0,1.0,3.0,1.4067,3.0,3.0,2.0,1.0,1.0
4.6748,2.0,3.0,2.0,1.0,2.0,1.0,-1.4669,1.0,2.0,2.0,1.0,1.0
7.0667,1.0,1.0,1.0,3.0,2.0,3.0,0.4717,2.0,4.0,2.0,1.0,1.0
1.4262,1.0,3.0,2.0,3.0,2.0,1.0,0.4436,1.0,3.0,2.0,1.0,1.0
7.729,1.0,1.0,1.0,2.0,2.0,3.0,-0.595,3.0,4.0,2.0,1.0,1.0
-2.1806,1.0,3.0,1.0,3.0,1.0,1.0,-1.7981,4.0,2.0,1.0,2.0,1.0
6.8419,2.0,3.0,1.0,2.0,1.0,1.0,0.2397,1.0,4.0,1.0,2.0,1.0
1.259,1.0,2.0,2.0,1.0,2.0,3.0,0.4742,1.0,1.0,1.0,2.0,1.0
8.8405,2.0,2.0,2.0,2.0,2.0,3.0,0.6888,3.0,1.0,1.0,2.0,1.0
6.1657,2.0,1.0,2.0,3.0,1.0,3.0,-1.0616,3.0,5.0,1.0,2.0,1.0
-4.5605,1.0,2.0,2.0,2.0,2.0,1.0,-0.5356,1.0,3.0,2.0,2.0,1.0
-1.2367,1.0,3.0,2.0,2.0,1.0,1.0,-1.2963,2.0,5.0,2.0,2.0,1.0
-12.2932,1.0,2.0,2.0,1.0,2.0,2.0,-1.5389,3.0,2.0,2.0,2.0,1.0
-2.3374,2.0,3.0,1.0,1.0,2.0,2.0,-0.6408,2.0,1.0,2.0,2.0,1.0
0.0716,1.0,2.0,2.0,2.0,1.0,1.0,0.6574,1.0,1.0,2.0,2.0,1.0
0.1895,2.0,1.0,1.0,1.0,1.0,3.0,0.9259,1.0,2.0,1.0,3.0,1.0
1.5608,2.0,2.0,2.0,1.0,2.0,2.0,1.508,3.0,1.0,1.0,3.0,1.0
-0.8529,2.0,3.0,1.0,1.0,1.0,3.0,2.5821,2.0,3.0,1.0,3.0,1.0
-4.1169,1.0,2.0,2.0,1.0,2.0,3.0,0.4102,1.0,4.0,1.0,3.0,1.0
3.9977,2.0,1.0,2.0,3.0,2.0,2.0,0.7839,2.0,5.0,1.0,3.0,1.0
-8.1277,1.0,2.0,2.0,3.0,2.0,1.0,-1.8812,4.0,2.0,2.0,3.0,1.0
-4.9656,1.0,2.0,1.0,3.0,2.0,3.0,0.777,4.0,1.0,2.0,3.0,1.0
-0.6428,2.0,2.0,1.0,2.0,1.0,3.0,0.259,3.0,1.0,2.0,3.0,1.0
-5.5152,2.0,3.0,2.0,2.0,2.0,3.0,-0.925,3.0,3.0,2.0,3.0,1.0
-5.5657,2.0,2.0,1.0,3.0,2.0,3.0,-0.4831,1.0,5.0,2.0,3.0,1.0
14.8177,2.0,2.0,1.0,3.0,1.0,3.0,0.5046,3.0,3.0,1.0,1.0,2.0
16.9783,2.0,1.0,1.0,2.0,2.0,1.0,-0.6903,2.0,1.0,1.0,1.0,2.0
13.8966,1.0,3.0,2.0,2.0,2.0,1.0,1.6166,2.0,5.0,1.0,1.0,2.0
14.8166,2.0,2.0,2.0,2.0,1.0,3.0,0.2778,2.0,3.0,1.0,1.0,2.0
19.364,2.0,3.0,2.0,2.0,1.0,2.0,1.9586,4.0,2.0,1.0,1.0,2.0
9.5299,1.0,3.0,1.0,1.0,1.0,3.0,1.0506,2.0,5.0,2.0,1.0,2.0
12.0102,2.0,1.0,1.0,3.0,2.0,3.0,0.4871,1.0,1.0,2.0,1.0,2.0
6.1551,2.0,1.0,2.0,3.0,2.0,1.0,2.0891,4.0,4.0,2.0,1.0,2.0
-1.7048,1.0,2.0,1.0,1.0,2.0,2.0,1.4338,4.0,3.0,2.0,1.0,2.0
2.764,1.0,1.0,2.0,3.0,1.0,2.0,-1.1196,3.0,4.0,2.0,1.0,2.0
2.8065,1.0,3.0,1.0,1.0,2.0,1.0,0.3367,3.0,2.0,1.0,2.0,2.0
0.0974,2.0,2.0,1.0,3.0,1.0,1.0,0.1092,2.0,2.0,1.0,2.0,2.0
-7.808,1.0,1.0,1.0,2.0,2.0,2.0,0.4007,4.0,1.0,1.0,2.0,2.0
-18.045,2.0,3.0,1.0,1.0,1.0,2.0,0.146,3.0,5.0,1.0,2.0,2.0
-2.8199,2.0,1.0,2.0,3.0,1.0,3.0,-0.3877,3.0,4.0,1.0,2.0,2.0
8.9893,1.0,1.0,1.0,2.0,2.0,1.0,0.6957,4.0,3.0,2.0,2.0,2.0
3.7978,2.0,1.0,1.0,1.0,2.0,1.0,-0.4664,3.0,3.0,2.0,2.0,2.0
-6.3493,1.0,1.0,1.0,1.0,2.0,3.0,0.2067,2.0,4.0,2.0,2.0,2.0
8.1411,2.0,1.0,2.0,1.0,1.0,2.0,0.4112,1.0,4.0,2.0,2.0,2.0
-7.5483,2.0,2.0,1.0,1.0,1.0,2.0,-1.3734,3.0,3.0,2.0,2.0,2.0
-0.46,2.0,1.0,2.0,3.0,1.0,3.0,0.7065,1.0,3.0,1.0,3.0,2.0
-3.2135,1.0,2.0,2.0,2.0,1.0,2.0,1.3628,4.0,2.0,1.0,3.0,2.0
-6.6562,2.0,1.0,2.0,2.0,2.0,3.0,-0.5052,4.0,5.0,1.0,3.0,2.0
5.1267,2.0,1.0,1.0,1.0,2.0,1.0,-1.3457,2.0,5.0,1.0,3.0,2.0
3.5592,1.0,1.0,2.0,1.0,2.0,3.0,-1.8022,3.0,4.0,1.0,3.0,2.0
-4.442,2.0,3.0,1.0,2.0,1.0,1.0,0.0116,2.0,4.0,2.0,3.0,2.0
-8.5965,2.0,2.0,1.0,3.0,2.0,3.0,-0.9075,1.0,3.0,2.0,3.0,2.0
-6.3187,2.0,2.0,2.0,2.0,2.0,3.0,-1.4707,1.0,1.0,2.0,3.0,2.0
-7.8953,2.0,2.0,1.0,1.0,2.0,1.0,-1.2938,2.0,3.0,2.0,3.0,2.0
-10.1383,1.0,3.0,1.0,3.0,2.0,2.0,-1.166,4.0,4.0,2.0,3.0,2.0
-7.885,1.0,2.0,1.0,1.0,2.0,3.0,0.0397,4.0,4.0,1.0,1.0,3.0
23.2001,1.0,3.0,1.0,2.0,1.0,3.0,-0.5987,3.0,2.0,1.0,1.0,3.0
5.5829,2.0,3.0,2.0,2.0,1.0,1.0,0.6683,3.0,3.0,1.0,1.0,3.0
-4.3698,2.0,2.0,1.0,1.0,2.0,2.0,-0.0106,1.0,3.0,1.0,1.0,3.0
2.1274,1.0,2.0,1.0,3.0,2.0,2.0,0.5885,1.0,3.0,1.0,1.0,3.0
-2.7184,1.0,1.0,1.0,1.0,1.0,2.0,0.4555,1.0,5.0,2.0,1.0,3.0
-17.9128,2.0,2.0,2.0,1.0,1.0,2.0,0.6502,4.0,3.0,2.0,1.0,3.0
-1.2708,1.0,1.0,1.0,3.0,1.0,1.0,-0.1601,1.0,3.0,2.0,1.0,3.0
-24.2735,2.0,2.0,1.0,3.0,2.0,3.0,1.691,1.0,1.0,2.0,1.0,3.0
-14.7374,2.0,2.0,2.0,3.0,1.0,2.0,0.1053,4.0,4.0,2.0,1.0,3.0
0.1713,2.0,1.0,2.0,3.0,2.0,2.0,-0.4037,3.0,4.0,1.0,2.0,3.0
8.0006,1.0,3.0,2.0,3.0,1.0,3.0,-0.5853,3.0,2.0,1.0,2.0,3.0
1.21,2.0,3.0,2.0,1.0,1.0,1.0,-0.3037,1.0,3.0,1.0,2.0,3.0
3.3307,1.0,3.0,1.0,1.0,2.0,2.0,-0.0774,1.0,4.0,1.0,2.0,3.0
-22.6713,2.0,3.0,1.0,2.0,2.0,1.0,0.4733,4.0,5.0,1.0,2.0,3.0
7.5562,1.0,3.0,2.0,2.0,1.0,2.0,-0.0354,4.0,2.0,2.0,2.0,3.0
-7.0694,1.0,3.0,2.0,2.0,1.0,1.0,-0.664,2.0,1.0,2.0,2.0,3.0
3.7159,2.0,3.0,1.0,3.0,1.0,1.0,0.0335,4.0,4.0,2.0,2.0,3.0
-4.3135,1.0,2.0,2.0,2.0,1.0,3.0,0.1351,1.0,1.0,2.0,2.0,3.0
-14.5577,1.0,1.0,2.0,1.0,2.0,3.0,-0.5951,3.0,4.0,2.0,2.0,3.0
-12.5107,2.0,2.0,2.0,3.0,1.0,3.0,0.2735,3.0,2.0,1.0,3.0,3.0
4.7708,2.0,2.0,1.0,1.0,1.0,3.0,0.3157,1.0,2.0,1.0,3.0,3.0
13.2797,2.0,2.0,2.0,1.0,1.0,1.0,-1.0843,2.0,3.0,1.0,3.0,3.0
-6.3243,1.0,2.0,2.0,1.0,2.0,2.0,-0.0836,4.0,2.0,1.0,3.0,3.0
-7.0549,2.0,1.0,2.0,1.0,1.0,2.0,-0.2884,2.0,1.0,1.0,3.0,3.0
-9.2713,2.0,3.0,2.0,3.0,2.0,3.0,-0.1006,1.0,2.0,2.0,3.0,3.0
-18.7788,1.0,3.0,1.0,2.0,2.0,3.0,0.571,1.0,3.0,2.0,3.0,3.0
-7.723,1.0,1.0,2.0,1.0,1.0,2.0,0.2776,2.0,3.0,2.0,3.0,3.0
-22.723,2.0,3.0,2.0,2.0,1.0,3.0,-0.7561,4.0,4.0,2.0,3.0,3.0
-11.6609,1.0,2.0,2.0,2.0,1.0,2.0,1.5549,1.0,4.0,2.0,3.0,3.0
